Date,Wellfield,WF_Pumpage,StdPumpage
2006-10-01,NWH,9.103726027397261,1.438209483399193
2007-10-01,NWH,7.819480874316942,2.182106059076381
2008-10-01,NWH,6.7406301369863,1.5293041898632422
2009-10-01,NWH,7.256328767123285,2.2411534759146448
2010-10-01,NWH,8.318794520547941,1.6709711836752899
2011-10-01,NWH,3.608480874316939,2.7646476707654477
2012-10-01,NWH,2.953835616438352,2.8051791925961087
2013-10-01,NWH,2.4779178082191775,2.234980036254629
2014-10-01,NWH,3.5790958904109598,2.333815205004336
2015-10-01,NWH,2.376284153005465,2.269721452011409
2016-10-01,NWH,0.9791780821917809,2.261902433638222
2017-10-01,NWH,1.1782739726027407,1.3484845101755332
2018-10-01,NWH,0.8392328767123286,0.9877721981305561
2019-10-01,NWH,5.019262295081967,5.6721595271003995
