Wellfield,Date,WF_Pumpage,StdPumpage,PctOfCWUP,StdPctOfCWUP,RA Period
CYB,2013-10-01,9.766451612903223,4.320106903296956,16.915387651699334,8.02558993873863,RA Last SixYrs
CYB,2013-11-01,14.80166666666667,3.529779795157024,17.15610765982071,3.3967050763021853,RA Last SixYrs
CYB,2013-12-01,9.599032258064517,2.5021195745989884,11.690648734868072,3.0698199689707963,RA Last SixYrs
CYB,2014-01-01,8.30741935483871,2.1155629160138205,11.474734603118028,2.1732675614043764,RA Last SixYrs
CYB,2014-02-01,8.91607142857143,3.9383897247909068,12.193409832846596,3.871165226007911,RA Last SixYrs
CYB,2014-03-01,10.414516129032261,4.330333966112134,14.395603759440107,3.6120637002321048,RA Last SixYrs
CYB,2014-04-01,13.363333333333333,2.7259282927970188,17.817620230062495,2.6665102892565034,RA Last SixYrs
CYB,2014-05-01,15.450967741935484,4.330526800008444,17.069699071914034,2.61807768732411,RA Last SixYrs
CYB,2014-06-01,13.877666666666666,4.180542518277554,14.934503840282265,3.1329685114183174,RA Last SixYrs
CYB,2014-07-01,11.399032258064514,3.380867102621961,16.608754177303222,4.570009294785362,RA Last SixYrs
CYB,2014-08-01,11.013225806451613,3.2390702236874205,17.00386918755278,3.9126799485881327,RA Last SixYrs
CYB,2014-09-01,8.541666666666666,2.5709612898725203,14.976476608076728,3.4768518037813014,RA Last SixYrs
CYB,2014-10-01,11.612903225806454,2.480668180885127,16.16551310113171,2.2668496406635197,RA Last SixYrs
CYB,2014-11-01,12.743333333333334,2.8465239943788907,14.059986415559894,2.3388092702605427,RA Last SixYrs
CYB,2014-12-01,9.255806451612901,2.148127516689123,12.069428060442176,1.9757044911737207,RA Last SixYrs
CYB,2015-01-01,9.911935483870968,4.717696061535999,11.67371968464312,5.038941307217726,RA Last SixYrs
CYB,2015-02-01,11.726785714285715,2.5142144838695595,13.644985203969975,2.0764352294986943,RA Last SixYrs
CYB,2015-03-01,12.87838709677419,2.242399156817247,14.40411130099413,1.8243321671181525,RA Last SixYrs
CYB,2015-04-01,14.20466666666667,1.6565683959844726,15.181732646314742,1.7017265495030833,RA Last SixYrs
CYB,2015-05-01,13.021612903225806,1.4820663430363967,14.669242973881692,1.7896285939595302,RA Last SixYrs
CYB,2015-06-01,11.383666666666665,1.8003610429737527,13.445208913925638,1.6243243900235111,RA Last SixYrs
CYB,2015-07-01,8.107741935483872,2.5392422881342838,11.3801642416532,3.234192112648488,RA Last SixYrs
CYB,2015-08-01,10.991935483870968,2.3377545057238787,16.218090204588,3.0134032709160277,RA Last SixYrs
CYB,2015-09-01,11.065999999999999,2.660114853626214,16.38737200569614,2.8249123875406625,RA Last SixYrs
CYB,2015-10-01,12.319032258064517,1.7437781870385263,16.142305892441822,1.516018130956678,RA Last SixYrs
CYB,2015-11-01,14.500333333333332,1.5610882219726443,17.788388752142875,2.1399623016529983,RA Last SixYrs
CYB,2015-12-01,15.311612903225805,0.614161199111974,16.69259346899357,1.3700965490964416,RA Last SixYrs
CYB,2016-01-01,11.563225806451616,2.310258841337577,15.123255666085084,2.0952702459955796,RA Last SixYrs
CYB,2016-02-01,10.147586206896552,4.9166493055828795,13.008054494977388,6.124594735124989,RA Last SixYrs
CYB,2016-03-01,15.25,1.8225622988894878,17.382872402778993,1.4396105025326624,RA Last SixYrs
CYB,2016-04-01,15.308666666666666,2.6330927578162435,17.266318911154794,2.607964255016324,RA Last SixYrs
CYB,2016-05-01,12.277741935483872,3.3269572782322734,16.117071755558296,2.9078813039793454,RA Last SixYrs
CYB,2016-06-01,13.119666666666669,1.9798876375873475,17.40433434765002,2.2202051813912376,RA Last SixYrs
CYB,2016-07-01,11.71,3.4771032004625035,15.199557327622438,3.3179914541559685,RA Last SixYrs
CYB,2016-08-01,10.974193548387094,3.3456735985384283,16.966078644528167,4.020767046838572,RA Last SixYrs
CYB,2016-09-01,11.463,2.6191511523050193,16.66724896540279,2.93002036128202,RA Last SixYrs
CYB,2016-10-01,12.62193548387097,1.6534114619070142,16.118328064358167,1.4001503218115876,RA Last SixYrs
CYB,2016-11-01,13.108666666666666,1.4219019155593158,14.58613713605418,1.4314181425176584,RA Last SixYrs
CYB,2016-12-01,11.09290322580645,2.144064976547098,13.158313456099446,2.13269824950205,RA Last SixYrs
CYB,2017-01-01,10.741935483870968,1.5536825487742403,12.14903786825639,1.1063163503324238,RA Last SixYrs
CYB,2017-02-01,9.813214285714285,1.9558914867488202,11.784818597736102,1.3617517255293954,RA Last SixYrs
CYB,2017-03-01,9.896451612903226,1.3494036914802905,10.912637456573997,1.6147077428034247,RA Last SixYrs
CYB,2017-04-01,12.374333333333334,2.525413838853206,10.971988608674357,1.597876566723569,RA Last SixYrs
CYB,2017-05-01,15.478709677419355,2.119681960319342,13.167228505632467,1.4653921838739183,RA Last SixYrs
CYB,2017-06-01,7.144,2.1933985596282564,9.77718814077963,1.8793832922037126,RA Last SixYrs
CYB,2017-07-01,10.116451612903226,1.847862816674245,12.895448793682379,1.986423047477536,RA Last SixYrs
CYB,2017-08-01,7.93225806451613,1.186714539326724,11.512805422633273,1.5589935778002335,RA Last SixYrs
CYB,2017-09-01,7.971666666666667,1.8922219803681863,12.221488477120058,1.958194267022785,RA Last SixYrs
CYB,2017-10-01,9.896451612903224,1.998233467152261,13.174826351377014,1.4192018203294308,RA Last SixYrs
CYB,2017-11-01,5.269999999999999,0.8602726111630293,7.704003869702827,0.72108379822456,RA Last SixYrs
CYB,2017-12-01,5.007419354838708,0.6561654656255408,7.213046839966058,0.7614125832242087,RA Last SixYrs
CYB,2018-01-01,6.702580645161289,1.7935086055772302,9.740149236052675,2.0439929059141426,RA Last SixYrs
CYB,2018-02-01,11.95857142857143,2.9382946859319,13.808845178985816,2.678513187441463,RA Last SixYrs
CYB,2018-03-01,13.411935483870968,2.36825311056461,14.30268542544284,1.8834862851831364,RA Last SixYrs
CYB,2018-04-01,9.224666666666666,2.800364179929088,11.615136020561616,2.6800567852687576,RA Last SixYrs
CYB,2018-05-01,9.07516129032258,2.5225038763997274,11.15670168211413,2.3652325524713333,RA Last SixYrs
CYB,2018-06-01,12.961666666666664,6.873979464484963,12.38139437797282,4.773333732496546,RA Last SixYrs
CYB,2018-07-01,10.844838709677415,2.640350823871401,13.239216405234616,2.5189459244754606,RA Last SixYrs
CYB,2018-08-01,11.47741935483871,1.6164384053466372,13.659290392370849,1.440397799587332,RA Last SixYrs
CYB,2018-09-01,12.850999999999999,1.50723622384908,15.475071238264972,1.3778788484370605,RA Last SixYrs
CYB,2018-10-01,13.38967741935484,2.3800875108154664,14.864449602715256,2.4068663892852857,RA Last SixYrs
CYB,2018-11-01,9.33,1.8863173390096148,12.01028315978002,1.861169794259822,RA Last SixYrs
CYB,2018-12-01,9.015806451612907,2.3663358090706956,13.54112275615926,2.844782602256487,RA Last SixYrs
CYB,2019-01-01,10.919354838709676,2.232833678660184,15.19043120895082,2.8329283046299976,RA Last SixYrs
CYB,2019-02-01,13.379285714285713,1.336429539984804,16.782901462465954,1.3552818726685645,RA Last SixYrs
CYB,2019-03-01,9.580967741935483,2.1214261788377353,12.011607950505152,2.4309466826659447,RA Last SixYrs
CYB,2019-04-01,8.536333333333333,1.7792898299182656,10.720934063568052,1.6665061251102733,RA Last SixYrs
CYB,2019-05-01,10.560645161290322,3.284884508861633,11.614732851547897,1.8292771195902822,RA Last SixYrs
CYB,2019-06-01,14.015666666666668,2.180981562212901,15.23790956749296,2.425118507263596,RA Last SixYrs
CYB,2019-07-01,13.305161290322578,3.0479412406494486,15.807588840017655,3.362340262599093,RA Last SixYrs
CYB,2019-08-01,13.570645161290322,1.468763506000605,15.915524171254575,1.3488338762850887,RA Last SixYrs
CYB,2019-09-01,11.447333333333336,1.48751107404356,14.148966972153742,1.715350102560004,RA Last SixYrs
CYB,2019-10-01,11.005806451612905,2.203744955287914,12.414531330421244,1.942582524379251,RA Extended Period
CYB,2019-11-01,11.884333333333336,2.6811817818130836,13.419942119076687,2.6553750997308665,RA Extended Period
CYB,2019-12-01,10.00225806451613,2.52929728011216,13.360247131564295,2.450679776517717,RA Extended Period
CYB,2020-01-01,14.690322580645157,1.6205914226417228,17.855050907687346,1.269810018430248,RA Extended Period
CYB,2020-02-01,11.172758620689654,3.038024377490511,13.850373364587348,2.9920902002066785,RA Extended Period
CYB,2020-03-01,10.536451612903226,1.2639423731249095,11.861282162985479,1.541814850304465,RA Extended Period
CYB,2020-04-01,7.324666666666665,2.2972483289922048,9.350188496591763,1.6571359025166963,RA Extended Period
CYB,2020-05-01,7.653548387096776,1.2273780954731552,9.181187300270022,1.083698773237788,RA Extended Period
CYB,2020-06-01,8.246999999999998,1.80923521659444,9.679226697161804,1.280233049573648,RA Extended Period
CYB,2020-07-01,10.261935483870971,1.7685840275105662,12.179193815181936,2.02042081245661,RA Extended Period
CYB,2020-08-01,8.248709677419354,1.9584343099110004,9.178919142241314,2.1837784357307766,RA Extended Period
CYB,2020-09-01,7.191000000000002,2.2838961719259245,8.218303048130787,1.8606283477511039,RA Extended Period
CYB,2020-10-01,6.010645161290322,2.2710774762710777,8.429627343472735,1.7146380985173961,RA Extended Period
CYB,2020-11-01,7.869333333333333,2.1130104905876266,11.59039823344972,2.2767389517669883,RA Extended Period
CYB,2020-12-01,7.967741935483871,1.584642356448124,12.529261551524552,1.9036824806873334,RA Extended Period
