PointName,SCADAName,Date,AnnAvgPP
CBR002,CB-02,2009-01-01,0.2244657534246576
CBR002,CB-02,2010-01-01,0.05791780821917807
CBR002,CB-02,2011-01-01,0.0661095890410959
CBR002,CB-02,2012-01-01,0.048032786885245905
CBR002,CB-02,2013-01-01,0.0727123287671233
CBR002,CB-02,2014-01-01,0.06452054794520545
CBR002,CB-02,2015-01-01,0.012520547945205478
CBR002,CB-02,2016-01-01,0.039945355191256825
CBR002,CB-02,2017-01-01,0.08079452054794521
CBR002,CB-02,2018-01-01,0.008301369863013695
CBR002,CB-02,2019-01-01,0.00030136986301369865
CBR002,CB-02,2020-01-01,0.0006557377049180328
CBR002,CB-02,2021-01-01,0.008931506849315068
CBR002,CB-02,2022-01-01,0.19397260273972605
CBR002,CB-02,2023-01-01,1.6796703296703304
CBR003,CB-03,2006-01-01,0.7978260869565217
CBR003,CB-03,2007-01-01,1.1034520547945215
CBR003,CB-03,2008-01-01,1.066939890710382
CBR003,CB-03,2009-01-01,0.9815068493150688
CBR003,CB-03,2010-01-01,0.8904931506849317
CBR003,CB-03,2011-01-01,1.1963561643835616
CBR003,CB-03,2012-01-01,0.9307923497267762
CBR003,CB-03,2013-01-01,1.853835616438356
CBR003,CB-03,2014-01-01,1.2137260273972599
CBR003,CB-03,2015-01-01,1.8122465753424652
CBR003,CB-03,2016-01-01,1.0277595628415301
CBR003,CB-03,2017-01-01,0.9204931506849315
CBR003,CB-03,2018-01-01,1.2670958904109586
CBR003,CB-03,2019-01-01,0.0007945205479452055
CBR003,CB-03,2020-01-01,0.0004918032786885246
CBR003,CB-03,2021-01-01,0
CBR003,CB-03,2022-01-01,0
CBR003,CB-03,2023-01-01,0
CBR004,CB-04,2006-01-01,0.5858695652173913
CBR004,CB-04,2007-01-01,0.4000273972602739
CBR004,CB-04,2008-01-01,0.3551366120218579
CBR004,CB-04,2009-01-01,0.3365753424657534
CBR004,CB-04,2010-01-01,0.1426027397260274
CBR004,CB-04,2011-01-01,0.17076712328767124
CBR004,CB-04,2012-01-01,0.2607103825136612
CBR004,CB-04,2013-01-01,0.3928767123287669
CBR004,CB-04,2014-01-01,0.3508767123287671
CBR004,CB-04,2015-01-01,0.11909589041095886
CBR004,CB-04,2016-01-01,0.11519125683060108
CBR004,CB-04,2017-01-01,0.03515068493150685
CBR004,CB-04,2018-01-01,0.4046301369863013
CBR004,CB-04,2019-01-01,0.09482191780821918
CBR004,CB-04,2020-01-01,1.097267759562842
CBR004,CB-04,2021-01-01,0.7891232876712326
CBR004,CB-04,2022-01-01,0.07180821917808221
CBR004,CB-04,2023-01-01,0.08509157509157511
CBR005,CB-05,2006-01-01,0.4759782608695653
CBR005,CB-05,2007-01-01,0.4795616438356163
CBR005,CB-05,2008-01-01,0.3430874316939892
CBR005,CB-05,2009-01-01,0.3923287671232876
CBR005,CB-05,2010-01-01,0.26342465753424665
CBR005,CB-05,2011-01-01,0.14841095890410963
CBR005,CB-05,2012-01-01,0.15467213114754097
CBR005,CB-05,2013-01-01,0.4435616438356165
CBR005,CB-05,2014-01-01,0.12569863013698632
CBR005,CB-05,2015-01-01,0.43030136986301365
CBR005,CB-05,2016-01-01,0.20423497267759566
CBR005,CB-05,2017-01-01,0.15263013698630137
CBR005,CB-05,2018-01-01,0.10082191780821916
CBR005,CB-05,2019-01-01,0.4142739726027397
CBR005,CB-05,2020-01-01,0.19486338797814207
CBR005,CB-05,2021-01-01,0.16676712328767124
CBR005,CB-05,2022-01-01,0.04882191780821918
